"PAPER TITLE","DOI","YEAR","MODEL TYPE","TECHNICALITIES","METHODOLOGY","DATA SOURCE","SAMPLE PERIOD","SAMPLE FREQUENCY","FORECAST HORIZONS","VALIDATION METRICS","KEY RESULTS","LIMITATIONS","APPLICATION CONTEXT","JOURNAL / VENUE","LATEX BIBTEX CITATION","DATASET_FLAG","MULTI_STEP","SPATIAL_GRAPH","BIBTEX_KEY"
"Spatiotemporal PM2.5 Forecasting via Dynamic Geographical Graph Neural Network","10.1016/j.envsoft.2025.106351","2025","Dynamic Graph Neural Network (GCN + LSTM)","Dynamic graph construction using wind fields + static geographic graph + GCN + LSTM","Dynamic adjacency matrices based on wind and distance; GCN for spatial encoding; LSTM for temporal forecasting","Multi-station air quality monitoring + meteorological data","Multi-year dataset","Hourly","1h, 6h, 12h, 24h, 36h","MAE, RMSE, R²","Reduced RMSE compared to static GNN and LSTM baselines","Requires high-quality wind/geospatial data; higher computational complexity","Urban multi-station PM2.5 forecasting","Environmental Modelling & Software","@article{Fan2025DynamicGNN,   author  = {Fan, Chao and Zhang, Hao and Wang, Lei and Liu, Yang and Chen, Jing},   title   = {Spatiotemporal {PM2.5} Forecasting via Dynamic Geographical Graph Neural Network},   journal = {Environmental Modelling \& Software},   year    = {2025},   doi     = {10.1016/j.envsoft.2025.106351} }","Other-China","Yes","Dynamic","Fan2025DynamicGNN"
"Predicting Air Quality as a Continuous Spatio-Temporal Field","https://doi.org/10.48550/arXiv.2403.02354","2024","Deep Learning (STFNN: gradient-based continuous field + Transformer)","Gradient field learning (∇F), curl regularization, lightweight 0.208M params","Pyramidal Inference: Spatio-Temporal Encoding → Ring Estimation → Neighbor Aggregation; multi-scale temporal encodings; Transformer decoder aggregation","Official Chinese national air quality monitoring data (public, environmental sensor outputs)","Jan 1, 2018 – Dec 31, 2018","Hourly","Hourly","MAE for PM2.5, NO2","Outperforms GraphMAE for PM2.5 & NO2 across masking scenarios; 25% mask: −10.2% MAE, 50%: −8.1%, 75%: −2.8%; generalizes to NO2; ablations confirm neighbor aggregation & meteorological features crucial","Discrete approximation of continuous field; high integration steps costly; dataset only China 2018; smoothness assumption may fail under extreme events; no live deployment evaluation","Spatially continuous air quality inference, works for PM2.5 & other pollutants; handles missing data; enables estimation at unmonitored geographic locations","arXiv","@misc{Feng2024STFNN, author={Feng, Yutong and Wang, Qiongyan and Xia, Yutong and Huang, Junlin and Zhong, Siru and Liang, Yuxuan}, title={Spatio-Temporal Field Neural Networks for Air Quality Inference}, year={2024}, eprint={2403.02354}, archivePrefix={arXiv}, primaryClass={cs.LG}, url={https://arxiv.org/abs/2403.02354}}","Other-China","No","Dynamic","Feng2024STFNN"
"Synergistic Neural Forecasting of Air Pollution with Stochastic Sampling (SynCast)","https://doi.org/10.48550/arXiv.2510.23977","2025","Spatio-Temporal Transformer with Stochastic Sampling","Transformer backbone with stochastic sampling module and tail-aware weighted loss for extreme event emphasis","Data preprocessing and normalization followed by spatio-temporal embedding via Transformer, stochastic sampling for rare event modeling, weighted loss optimization, and multi-horizon forecasting","Multi-station government air quality monitoring datasets combined with meteorological reanalysis data such as ERA5 and CAMS; publicly available environmental agency data","Multi-year historical dataset including extreme pollution events","Hourly","1h, 6h, 24h, multi-step forecasting","MAE, RMSE, R2, tail-error evaluation on extreme intervals","Outperforms ARIMA, LSTM, and baseline Transformers with reduced RMSE during pollution spikes and improved robustness across locations","High computational cost, dependence on high-quality meteorological data, requires sufficient extreme-event samples, limited interpretability","Urban and regional multi-station air quality forecasting with focus on extreme pollution spike prediction","arXiv","@misc{Abeysinghe2025SynCast, author={Abeysinghe, Yohan and Munir, Muhammad Akhtar and Baliah, Sanoojan and Sarafian, Ron and Khan, Fahad Shahbaz and Rudich, Yinon and Khan, Salman}, title={Synergistic Neural Forecasting of Air Pollution with Stochastic Sampling}, year={2025}, eprint={2510.23977}, archivePrefix={arXiv}, primaryClass={cs.LG}, url={https://arxiv.org/abs/2510.23977}}","Other-China","Yes","None","Abeysinghe2025SynCast"
"E-STGCN: Extreme Spatio-Temporal Graph Convolutional Networks for Air Quality Forecasting","https://doi.org/10.1093/jrsssa/qnag010","2026","Hybrid Deep Learning (GCN + LSTM + EVT)","Static spatial graph (37 nodes) using Haversine distance; first-order Chebyshev GCN; LSTM temporal modeling; Peaks-Over-Threshold EVT; Generalized Pareto tail modeling; Hybrid MSE + EVT loss; BFGS MLE estimation","Graph-based spatial encoding + LSTM temporal forecasting + EVT-based extreme modeling integrated via hybrid loss; rolling window multi-horizon forecasting","Daily air quality monitoring data from 37 Delhi stations (CPCB, India); pollutants: PM2.5, PM10, NO2","2019–2022 training; 2023 testing","Daily","30, 60, 90 days","MAE, RMSE, SMAPE, MASE, CRPS, Threshold-weighted CRPS, Pinball Loss (80%, 95%)","Outperforms STGCN; improved extreme spike prediction; better high-quantile accuracy; lower threshold-weighted errors; stable long-horizon forecasts","Static adjacency (no dynamic wind); GP assumption may not fit all stations; tested only on Delhi; threshold fixed to regulatory limits; higher computational cost","Urban air quality forecasting with focus on regulatory exceedance prediction and risk-sensitive environmental monitoring","Journal of the Royal Statistical Society: Series A","@article{Pal2026ESTGCN,   author  = {Pal, Rohit and Singh, Priya and Sharma, Anil and Kumar, Vijay},   title   = {{E-STGCN}: Extreme Spatio-Temporal Graph Convolutional Networks for Air Quality Forecasting},   journal = {Journal of the Royal Statistical Society: Series A (Statistics in Society)},   year    = {2026},   doi     = {10.1093/jrsssa/qnag010} }","Other","Yes","Static","Pal2026ESTGCN"
"Dynamic synchronous graph transformer network for region-level air-quality forecasting","https://doi.org/10.1016/j.neucom.2024.128924","2024","Spatiotemporal Graph Deep Learning (Dynamic GCN + Transformer)","Dynamic synchronous graph construction, multiscale spatiotemporal graph convolution, Transformer encoder–decoder with graph and temporal attention","Data preprocessing → normalization → dynamic graph construction between monitoring stations → multiscale graph convolution for spatial features → Transformer for temporal dependency → multi-step forecasting","Beijing-2018 and Tianjin-2014 air quality datasets with meteorological and POI data","2014–2015 and 2018–2021","Hourly","12-hour and 24-hour ahead forecasting","RMSE, MAE, MAPE","DSGT outperforms baseline spatiotemporal models by capturing dynamic spatial relationships and long-term temporal dependencies","Limited to two regional datasets and computationally expensive due to complex graph-transformer architecture","Regional air quality prediction for smart city environmental monitoring and pollution control","Neurocomputing","@article{Zhao2024DSGT,   author  = {Zhao, Hongyu and Wang, Lei and Chen, Hao and Zhang, Fang and Liu, Yang},   title   = {Dynamic Synchronous Graph Transformer Network for Region-Level Air-Quality Forecasting},   journal = {Neurocomputing},   year    = {2024},   doi     = {10.1016/j.neucom.2024.128924} }","Beijing-PRSA","Yes","Dynamic","Zhao2024DSGT"
"Regional PM2.5 prediction with hybrid directed graph neural networks and spatio-temporal fusion of meteorological factors","https://doi.org/10.1016/j.envpol.2024.125404","2024","Hybrid Spatiotemporal Deep Learning (Directed GNN + LSTM)","Dynamic directed graph construction using wind direction, wind speed, and geographic distance; Graph Attention Network (GAT); LSTM temporal modeling; spatiotemporal fusion of meteorological and pollutant data","Data preprocessing → dynamic directed graph construction between cities → historical feature extraction using GAT-LSTM → future transmission prediction using forecast meteorological data → fusion of historical and forecast features → fully connected prediction layer for multi-step PM2.5 forecasting","China National Environmental Monitoring Centre air pollution data; NOAA meteorological data; NCEP GFS forecast meteorological dataset","2019–2023","Hourly","3–48 hour PM2.5 forecasting","RMSE, MAPE, R2, Index of Agreement (IA)","Hybrid GL-GL model outperforms LSTM, GC-LSTM, GCN-LSTM and GAT-LSTM baselines; MAE ≈ 7.64 (3-h) and ≈14.04 (48-h); effectively captures regional pollutant transport and predicts pollution events with low false alarm rate","Limited spatial resolution due to reliance on city monitoring stations; fixed 400 km graph threshold; difficulty predicting extreme pollution spikes; requires high computational resources","Regional air quality forecasting and pollution transport analysis for environmental management and early pollution warning systems","Environmental Pollution","@article{Wang2024DirectedGNN,   author  = {Wang, Peng and Zhang, Hao and Liu, Yang and Chen, Jing and Li, Ming},   title   = {Regional {PM2.5} Prediction with Hybrid Directed Graph Neural Networks and Spatio-Temporal Fusion of Meteorological Factors},   journal = {Environmental Pollution},   year    = {2024},   doi     = {10.1016/j.envpol.2024.125404} }","Other-China","Yes","Dynamic","Wang2024DirectedGNN"
"Physics-guided graph neural network (TransNet) for regional PM2.5 forecasting","https://doi.org/10.1038/s44407-026-00052-x","2026","Physics-guided Spatiotemporal Deep Learning (Graph Transport + Neural Network)","Graph advection operator modeling wind-driven pollutant transport, physics-guided reaction-diffusion learning, feature engineering with meteorological variables, multi-station spatial graph modeling","Data preprocessing and interpolation → feature engineering from pollutant and meteorological variables → physics-guided graph transport modeling → neural network learning reaction and diffusion processes → multi-step forecasting evaluation","AirKorea monitoring network (170 stations) with meteorological data from WRF model (South Korea)","2018–2021","Hourly","1–72 hour PM2.5 forecasting","MAE, RMSE, IOA, R2","TransNet improves PM2.5 forecasting accuracy across 170 monitoring stations and maintains strong performance for long horizons up to 72 h","Limited to South Korea dataset; depends on meteorological model inputs and complex physics-guided architecture","Urban and regional air pollution forecasting, environmental monitoring, and early pollution warning systems","Nature Communications Earth & Environment","@article{Kim2026TransNet,   author  = {Kim, Jinhyeok and Park, Sungho and Lee, Jongwon and Choi, Hyunwoo},   title   = {Physics-Guided Graph Neural Network ({TransNet}) for Regional {PM2.5} Forecasting},   journal = {Communications Earth \& Environment},   year    = {2026},   doi     = {10.1038/s44407-026-00052-x} }","Other","Yes","Dynamic","Kim2026TransNet"
"AQI Prediction via Spatio-Temporal Graph Neural Networks: Xi'an, China","https://doi.org/10.1016/j.engappai.2025.113547","2026","MD-STGNN-EN","Deep learning; GNN; Spatio-temporal; Ensemble","6 distance metrics build adjacency matrices → Gconv+Tconv layers extract features → CNN-MLP ensemble fuses outputs end-to-end","China National Environmental Monitoring Center","Xi'an: Aug 2022–Jul 2023; Shanghai: Aug 2023–Jul 2024","Hourly","1-step ahead","MAE; MAPE; RMSE","Xi'an: MAE=7.09, MAPE=14.33%, RMSE=11.62 — beats all 6 baselines; Shanghai: MAE=5.11, MAPE=13.70%, RMSE=8.25","Only 2 cities; no weather covariates; scalability untested; high compute cost","Urban AQI forecasting; public health warnings; pollution policy","Engineering Applications of Artificial Intelligence","@article{Chen2026MDSTGNN,   author  = {Chen, Guang and Wang, Fang and Zhang, Lei and Liu, Hao},   title   = {{AQI} Prediction via Spatio-Temporal Graph Neural Networks: {Xi'an}, {China}},   journal = {Engineering Applications of Artificial Intelligence},   year    = {2026},   doi     = {10.1016/j.engappai.2025.113547} }","Other-China","No","Static","Chen2026MDSTGNN"
"Air quality forecasting using a spatiotemporal hybrid deep learning model based on VMD–GAT–BiLSTM","https://doi.org/10.1038/s41598-024-68874-x","2024","Hybrid Spatiotemporal Deep Learning (VMD + GAT + BiLSTM)","Variational Mode Decomposition for signal decomposition, Graph Attention Networks for spatial relationships among stations, BiLSTM for temporal dependency learning, graph construction using geographic distance and Pearson correlation","Data preprocessing and normalization → VMD decomposition of PM2.5 into IMFs → graph construction using distance and correlation between monitoring stations → GAT for spatial feature extraction → BiLSTM for temporal feature learning → aggregation of IMF predictions for final forecast","Beijing air quality monitoring dataset with 30 monitoring stations including pollutants (PM2.5, PM10, CO, NO2, O3) and meteorological variables","2017–2020","Hourly","1–24 hour PM2.5 forecasting","RMSE, MAE, Index of Agreement (IA)","VMD–GAT–BiLSTM achieves best performance compared with GRU, BiLSTM, CNN-LSTM, Transformer, GCN-LSTM and STGCN for both short and long-term PM2.5 forecasting","Limited to Beijing dataset and requires decomposition and graph construction which increases computational complexity","Urban air quality forecasting, pollution monitoring, and early warning systems for environmental management","Scientific Reports","@article{Li2024VMDGat,   author  = {Li, Zhenyu and Wang, Hao and Chen, Jing and Zhang, Fang},   title   = {Air Quality Forecasting Using a Spatiotemporal Hybrid Deep Learning Model Based on {VMD--GAT--BiLSTM}},   journal = {Scientific Reports},   year    = {2024},   doi     = {10.1038/s41598-024-68874-x} }","Beijing-PRSA","Yes","Dynamic","Li2024VMDGat"
"AirFormer: Predicting Nationwide Air Quality in China with Transformers","https://doi.org/10.1609/aaai.v37i12.26676","2023","Transformer-based Spatio-Temporal Model","Dartboard Spatial Attention; Causal Temporal Attention; Hierarchical Latent Variables","Two-stage transformer: spatial attention across stations then temporal causal modeling with stochastic latent variables","Nationwide China air quality + meteorological data (1085 stations)","2018-2021","3-hour intervals","24h, 48h, 72h","MAE, RMSE","Outperforms baselines with ~4.6%-8.2% error reduction; strong long-horizon forecasting","High computational cost; PM2.5-only focus; China-specific dataset","Nationwide air quality forecasting and early warning systems","Proceedings of the AAAI Conference on Artificial Intelligence","@inproceedings{Liang2023AirFormer,   author    = {Liang, Yuxuan and Xia, Yutong and Ke, Songyu and Wang, Yiwei and Wen, Qingsong and Zhang, Junbo and Zheng, Yu and Zimmermann, Roger},   title     = {{AirFormer}: Predicting Nationwide Air Quality in {China} with Transformers},   booktitle = {Proceedings of the AAAI Conference on Artificial Intelligence},   year      = {2023},   volume    = {37},   number    = {12},   doi       = {10.1609/aaai.v37i12.26676} }","Other-China","Yes","Dynamic","Liang2023AirFormer"
"Semi-Supervised Air Quality Forecasting via Self-Supervised Hierarchical Graph Neural Network","https://doi.org/10.1109/TKDE.2022.3149815","2023","Hierarchical GNN (Semi-Supervised)","Hierarchical Graph (City-Zone-Region); Multi-view AQI estimation; Self-supervised learning; GRU + GCN","Multi-view estimation → Hierarchical GNN → Self-supervised tasks → Multi-step forecasting","BTH and PRD datasets (China); air quality, meteorology, POI, traffic, road networks","2018-2020","Hourly","1-6h, 7-12h, 13-24h","MAE, RMSE","Outperforms all baselines with ~10-18% improvement in MAE/RMSE; strong performance on unmonitored regions","High computational complexity; requires rich contextual data; semi-supervised dependency","Fine-grained urban air quality forecasting for unmonitored regions","IEEE Transactions on Knowledge and Data Engineering","@article{Chen2023SemiSupervised,   author  = {Chen, Jindong and Lin, Zhiyuan and Gao, Yue and Zhang, Lei and Wang, Hao},   title   = {Semi-Supervised Air Quality Forecasting via Self-Supervised Hierarchical Graph Neural Network},   journal = {IEEE Transactions on Knowledge and Data Engineering},   year    = {2023},   doi     = {10.1109/TKDE.2022.3149815} }","Other-China","Yes","Dynamic","Chen2023SemiSupervised"
